id,transaction_id,version,date,raw_description,amount,vendor_id,service_id,city,state,country,is_expense,gl_code,confidence,method,rule_id,reasoning,review_status,reviewed_by,reviewed_at,source_file,created_at,upload_batch
3068,UPL-001,1,2025-11-01,GOOGLE *ADS336008342CC@GOOGLE.COM       CA,519.94,GOOGL,GOOGL-ADS,,CA,US,t,5030,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3069,UPL-002,1,2025-10-31,DD *DOORDASH CUBBYS SAN FRANCISCO       CA,27.61,DOORDASH,DOORDASH-CUBBYS,SAN FRANCISCO,CA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3070,UPL-003,1,2025-10-31,DD *DOORDASH MCDONALSAN FRANCISCO       CA,31.06,DOORDASH,DD-MCDNLD,San Francisco,CA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3071,UPL-004,1,2025-10-31,TST* RREAL TACOS- LALAWRENCEVILLE       GA,84.38,RREALTACOS,,Lawrenceville,GA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3072,UPL-005,1,2025-10-30,MAILCHIMP LLC       ATLANTA             GA,60.00,MAILCHIMP,,Atlanta,GA,US,t,5030,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3073,UPL-006,1,2025-10-30,WAL-MART SUPERCENTERLOGANVILLE          GA,10.93,WALMART,WALMART-SC,Loganville,GA,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3074,UPL-007,1,2025-10-29,Amazon Prime        Amazon.com          WA,16.09,AMAZON,AMZN-PRIM,,WA,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3075,UPL-008,1,2025-10-29,KUDOBOARD           DENVER              CO,5.99,KUDOBOARD,,Denver,CO,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3076,UPL-009,1,2025-10-29,KUDOBOARD           DENVER              CO,104.30,KUDOBOARD,,Denver,CO,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3077,UPL-010,1,2025-10-25,INSURANCEXDATE.COM  WILMINGTON          DE,750.00,INSXDATE,INSXDATE,Wilmington,DE,US,t,5030,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3078,UPL-011,1,2025-10-24,WALMART.COM         WALMART.COM         AR,111.69,WALMART,WLMRT-COM,,AR,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3079,UPL-012,1,2025-10-24,WALMART.COM 80092562BENTONVILLE         AR,2.05,WALMART,WLMRT-COM,Bentonville,AR,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3080,UPL-013,1,2025-10-24,DD *DOORDASH MCDONALSAN FRANCISCO       CA,31.06,DOORDASH,DD-MCDNLD,San Francisco,CA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3081,UPL-014,1,2025-10-24,MDC*WALTON EMC MDC=WMONROE              GA,224.61,WALTONEMC,,Monroe,GA,US,t,6260,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3082,UPL-015,1,2025-10-23,WALMART.COM         WALMART.COM         AR,138.09,WALMART,WLMRT-COM,,AR,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3083,UPL-016,1,2025-10-21,GOOGLE *ADS336008342CC@GOOGLE.COM       CA,500.00,GOOGL,GOOGL-ADS,,CA,US,t,5030,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3084,UPL-017,1,2025-10-21,City BBQ Sandy SprinSANDY SPRINGS       GA,29.05,CITYBBQ,,SANDY SPRINGS,GA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3085,UPL-018,1,2025-10-21,AMERICAS PROFESSOR 8MISSOULA            MT,199.00,AMPROF,,Missoula,MT,US,t,6180,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3086,UPL-019,1,2025-10-21,MICROSOFT           MSBILL.INFO,9.99,MSFT,,,,US,t,6200,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3087,UPL-020,1,2025-10-18,USECANOPY.COM       BEAVERTON           OR,250.00,CANOPY,,Beaverton,OR,US,t,6200,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3088,UPL-021,1,2025-10-17,DD *DOORDASH CHIPOTLSAN FRANCISCO       CA,30.09,DOORDASH,DD-CHIPOT,San Francisco,CA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3089,UPL-022,1,2025-10-17,DD *DOORDASH MCDONALSAN FRANCISCO       CA,27.02,DOORDASH,DD-MCDNLD,San Francisco,CA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3090,UPL-023,1,2025-10-17,HUEY MAGOOS LOGANVILLOGANVILLE          GA,91.98,HUEYMAGOO,HUEYMAGOO,Loganville,GA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3091,UPL-024,1,2025-10-17,A1010BUSD01         MSBILL.INFO,175.00,MICROSOFT,MSFT-BILL,,,US,t,6200,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3092,UPL-025,1,2025-10-16,BETTERMENT BUSINESS NEW YORK            NY,261.53,BETTERMT,BETTERMT-B,New York,NY,US,t,6040,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3093,UPL-026,1,2025-10-16,ASCEND PAYMENTS     SAN FRANCISCO       CA,240.00,ASCENDPAY,ASCENDPAY,San Francisco,CA,US,t,6115,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3094,UPL-027,1,2025-10-16,WALMART.COM         WALMART.COM         AR,162.73,WALMART,WLMRT-COM,,AR,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3095,UPL-028,1,2025-10-15,RF *RICONO ACCOUNTINNEW YORK            NY,1700.00,RICONO,,New York,NY,US,t,6100,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3096,UPL-029,1,2025-10-14,IDEMIA I&S USA      844-321-2124        MA,51.99,IDEMIA,IDEMIA,,MA,US,t,6115,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3097,UPL-030,1,2025-10-14,AMAZON MARKEPLACE NA PA,40.26,AMZN,AMZN-MKTPL,,PA,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3098,UPL-031,1,2025-10-14,AMAZON.COM          AMZN.COM/BILL       WA,50.00,AMAZON,AMAZON-COM,,WA,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3099,UPL-032,1,2025-10-14,BLACK RIFLE COFFEE  SALT LAKE CITY      UT,20.39,BLKRIFLE,,SALT LAKE CITY,UT,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3100,UPL-033,1,2025-10-14,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,20.00,OPENAI,OPENAI-GPT,San Francisco,CA,US,t,6200,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3101,UPL-034,1,2025-10-13,POPSHELF #23151 0000LOGANVILLE          GA,2.12,POPSHELF,,Loganville,GA,US,t,6160,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3102,UPL-035,1,2025-10-10,GOOGLE *ADS336008342CC@GOOGLE.COM       CA,500.00,GOOGL,GOOGL-ADS,,CA,US,t,5030,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3103,UPL-036,1,2025-10-10,INSURANCEXDATE.COM  WILMINGTON          DE,250.00,INSXDATE,INSXDATE,Wilmington,DE,US,t,5030,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3104,UPL-037,1,2025-10-10,INSURANCEXDATE.COM  WILMINGTON          DE,450.00,INSXDATE,INSXDATE,Wilmington,DE,US,t,5030,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3105,UPL-038,1,2025-10-10,INSURANCEXDATE.COM  WILMINGTON          DE,1100.00,INSXDATE,INSXDATE,Wilmington,DE,US,t,5030,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3106,UPL-039,1,2025-10-10,DD *DOORDASH CHIPOTLSAN FRANCISCO       CA,28.63,DOORDASH,DD-CHIPOT,San Francisco,CA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3107,UPL-040,1,2025-10-10,DD *DOORDASH MCDONALSAN FRANCISCO       CA,28.02,DOORDASH,DD-MCDNLD,San Francisco,CA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
3108,UPL-041,1,2025-10-10,SUKI 0001           LOGANVILLE          GA,93.00,SUKI,SUKI,Loganville,GA,US,t,6170,High,Pre-classified,,,Unreviewed,,,classified.csv,2026-03-19 23:15:54.028746,"classified.csv (Mar 19, 2026 7:15 PM)"
